t,x,y,yaw
0.9850633550000001,1.8894446500315905,2.9901733526023815,2.4081050768354584
1.149546616,1.8163570202782577,3.0246324988271946,2.3768119992417356
1.549984009,1.7534523448366157,3.076227155880866,2.304428544454083
1.950286659,1.6991621212192245,3.1370554205294767,2.2144598285093053
2.451637179,1.6411721325004427,3.232247397539996,2.1417787774235233
3.050773162,1.5765816515737234,3.3603557582582093,2.0740733089310033
3.6099476590000004,1.5355093974163267,3.480298461410183,2.042809910380375
4.110568809,1.5049060183028546,3.6007111147134467,2.04517517484091
4.449621991,1.4887381637351047,3.6811905270853327,2.0791472574382484
5.011257219,1.4466967095575727,3.796656752432896,2.1310913464395056
5.411452377000001,1.421745884318946,3.8878232653571834,2.190747324720852
6.049617409000001,1.349759919387934,4.0084177137350645,2.250625017912286
6.550001948,1.2890172104390667,4.087725228924029,2.298388338697727
7.251124988000001,1.1793523629415532,4.205644002743055,2.357831579617195
7.849831197,1.0994920700811843,4.301792784024553,2.3711614454919543
8.551387571000001,0.987466768221124,4.417993774846873,2.3480841070987486
9.311943303000001,0.8825455912237076,4.5449768217718605,2.342125664855271
9.809910145,0.8137485841090367,4.625342645182264,2.2828404609391155
11.65046728,0.7339742901161329,4.728503658770669,2.2723616172357
12.150448163,0.6714197485519099,4.83492543551644,2.1811764120633663
12.449898857,0.6418138616965703,4.8909773508442855,2.1211539261571866
12.810159120000002,0.6062611668044708,4.962756147666851,2.052808056125473
13.350416992000001,0.5623418403939949,5.083309773557131,2.0343601644361016
14.010457324,0.5113986353182636,5.231680612836441,2.017882906489722
14.410407247,0.4731032556808363,5.314168746657689,2.0937776629581126
14.810573463,0.4210236517861318,5.399511407006916,2.192104620873952
15.249226976000001,0.3521943406994373,5.476208585500285,2.269930147845842
15.909905893000001,0.2509444748804812,5.577825147537889,2.3697133713832614
